Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
494000000 0.00488143 0.00193019 -0.417479 0.561754 -1.46693 -1.48008 0.743588 0.647526 -0.793011 0.788646 0.446025 0.417352 1.19942 1.19971 1.20016 -1.44229 
514000000 0.00488213 0.00192731 -0.417487 0.56522 -1.46693 -1.48096 0.743588 0.644676 -0.793011 0.788591 0.446025 0.41671 1.19942 1.19972 1.20016 -1.44751 
534000000 0.00488283 0.00192445 -0.417495 0.568688 -1.46693 -1.48186 0.743589 0.641803 -0.793012 0.788539 0.446025 0.41607 1.19942 1.19972 1.20017 -1.45271 
554000000 0.00488353 0.00192162 -0.417503 0.572159 -1.46694 -1.48279 0.74359 0.638908 -0.793012 0.788488 0.446024 0.415432 1.19942 1.19972 1.20018 -1.45788 
574000000 0.00488424 0.0019188 -0.417511 0.575633 -1.46694 -1.48375 0.74359 0.635991 -0.793013 0.78844 0.446024 0.414796 1.19942 1.19972 1.20018 -1.46303 
594000000 0.00488494 0.001916 -0.417519 0.57911 -1.46694 -1.48473 0.743591 0.633053 -0.793013 0.788395 0.446024 0.414162 1.19942 1.19973 1.20019 -1.46816 
614000000 0.00488565 0.00191323 -0.417527 0.582589 -1.46694 -1.48573 0.743592 0.630093 -0.793014 0.788351 0.446024 0.41353 1.19942 1.19973 1.20019 -1.47327 
634000000 0.00488636 0.00191047 -0.417535 0.586071 -1.46694 -1.48676 0.743592 0.627112 -0.793014 0.788309 0.446024 0.4129 1.19942 1.19973 1.2002 -1.47835 
654000000 0.00488706 0.00190774 -0.417542 0.589555 -1.46694 -1.48781 0.743593 0.62411 -0.793014 0.78827 0.446024 0.412272 1.19942 1.19973 1.20021 -1.48341 
674000000 0.00488778 0.00190502 -0.41755 0.593042 -1.46694 -1.48888 0.743594 0.621087 -0.793015 0.788233 0.446024 0.411646 1.19942 1.19973 1.20021 -1.48845 
694000000 0.00488849 0.00190233 -0.417558 0.596532 -1.46694 -1.48998 0.743594 0.618044 -0.793015 0.788198 0.446023 0.411022 1.19942 1.19974 1.20022 -1.49346 
714000000 0.0048892 0.00189966 -0.417566 0.600024 -1.46694 -1.4911 0.743595 0.614981 -0.793016 0.788165 0.446023 0.410401 1.19942 1.19974 1.20023 -1.49845 
734000000 0.00488992 0.00189701 -0.417574 0.603519 -1.46695 -1.49224 0.743596 0.611897 -0.793016 0.788134 0.446023 0.409781 1.19942 1.19974 1.20023 -1.50341 
