Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
330000000 0.00317492 0.000603936 -0.417371 0.983722 -1.46701 -1.6672 0.743435 0.301998 -0.793045 0.794919 0.446026 0.428814 1.19945 1.19959 1.20024 -1.87671 
350000000 0.00317395 0.000612404 -0.417376 0.986104 -1.46701 -1.67037 0.743433 0.307926 -0.793046 0.79222 0.446026 0.436034 1.19945 1.19959 1.20024 -1.88161 
370000000 0.00317316 0.000620817 -0.417383 0.991168 -1.46701 -1.67287 0.74343 0.307188 -0.793046 0.792817 0.446025 0.435153 1.19945 1.1996 1.20025 -1.88206 
390000000 0.00317057 0.000610519 -0.417388 0.977287 -1.46702 -1.66241 0.743429 0.330075 -0.793047 0.790408 0.446025 0.443871 1.19945 1.19959 1.20025 -1.87486 
410000000 0.00316935 0.000620905 -0.417396 0.985944 -1.46702 -1.6639 0.743427 0.312458 -0.793048 0.790241 0.446025 0.441826 1.19945 1.1996 1.20026 -1.86185 
430000000 0.00317008 0.000604396 -0.417404 1.00378 -1.46702 -1.67954 0.743426 0.292551 -0.793048 0.790557 0.446025 0.440867 1.19945 1.1996 1.20027 -1.86686 
450000000 0.00317038 0.000602823 -0.417408 0.984037 -1.46702 -1.66725 0.743422 0.325227 -0.793049 0.789641 0.446025 0.443303 1.19945 1.1996 1.20027 -1.85662 
470000000 0.00316793 0.000590799 -0.417413 1.00684 -1.46702 -1.68588 0.74342 0.281846 -0.79305 0.790932 0.446024 0.435651 1.19945 1.1996 1.20028 -1.87608 
490000000 0.00316798 0.000581492 -0.417421 1.00912 -1.46703 -1.69099 0.743419 0.275048 -0.79305 0.790429 0.446024 0.437324 1.19946 1.1996 1.20028 -1.88589 
510000000 0.00316585 0.000581177 -0.417424 0.976666 -1.46703 -1.66667 0.743416 0.318553 -0.793051 0.787697 0.446024 0.44699 1.19946 1.1996 1.20029 -1.86296 
530000000 0.00316579 0.000582322 -0.41743 0.94756 -1.46703 -1.64311 0.743414 0.352124 -0.793052 0.784306 0.446024 0.454989 1.19946 1.1996 1.2003 -1.82938 
