Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
25.646000000 0.024124 0.0137796 -0.453006 -0.470093 -1.46502 -2.49935 0.785455 1.1889 -0.797853 1.58401 0.458635 1.60219 1.20603 1.22753 1.21208 -0.0469684 
25.666000000 0.024174 0.0137659 -0.453116 -0.480195 -1.46497 -2.50404 0.785585 1.15514 -0.797845 1.57154 0.458668 1.60179 1.20602 1.22753 1.21209 -0.0509346 
25.686000000 0.0242202 0.0137771 -0.453224 -0.48493 -1.46492 -2.50463 0.785721 1.1425 -0.797836 1.57593 0.4587 1.60183 1.20601 1.22753 1.2121 -0.047869 
25.706000000 0.0242678 0.0137857 -0.453332 -0.495593 -1.46486 -2.50466 0.785853 1.1089 -0.797827 1.57497 0.458733 1.60178 1.206 1.22753 1.21212 -0.0457636 
25.726000000 0.0243171 0.0137825 -0.453437 -0.507744 -1.46481 -2.5046 0.785983 1.07877 -0.797818 1.5944 0.458764 1.6012 1.20599 1.22753 1.21213 -0.0345637 
25.746000000 0.0243618 0.0137685 -0.453546 -0.52885 -1.46476 -2.50457 0.786116 1.02895 -0.79781 1.61646 0.458797 1.59966 1.20598 1.22753 1.21215 -0.0225086 
25.766000000 0.0244092 0.0137621 -0.45366 -0.552274 -1.46471 -2.5036 0.78625 0.972926 -0.7978 1.65007 0.458829 1.59625 1.20597 1.22753 1.21216 -0.00566421 
25.786000000 0.0244586 0.0137527 -0.453771 -0.570642 -1.46465 -2.49998 0.786383 0.921531 -0.797792 1.68409 0.458861 1.59214 1.20596 1.22753 1.21217 0.00701099 
25.806000000 0.0245137 0.0137611 -0.453883 -0.588673 -1.4646 -2.49918 0.786513 0.877231 -0.797783 1.70598 0.458893 1.58911 1.20595 1.22753 1.21219 0.0137073 
25.826000000 0.024563 0.0137391 -0.45399 -0.588272 -1.46455 -2.49586 0.786646 0.859192 -0.797775 1.71572 0.458925 1.58599 1.20595 1.22753 1.2122 0.0178942 
25.846000000 0.0246178 0.0137423 -0.454099 -0.621266 -1.46449 -2.47147 0.786781 0.807804 -0.797765 1.77813 0.458957 1.57769 1.20594 1.22753 1.21221 0.0264144 
25.866000000 0.0246573 0.0137408 -0.4542 -0.622061 -1.46444 -2.48405 0.786916 0.808776 -0.797756 1.75623 0.45899 1.57733 1.20593 1.22753 1.21223 0.0264153 
25.886000000 0.0247068 0.0137514 -0.454306 -0.634543 -1.46439 -2.4763 0.787049 0.778966 -0.797747 1.77614 0.459021 1.57535 1.20592 1.22752 1.21224 0.0272018 
25.906000000 0.0247623 0.0137321 -0.454426 -0.661364 -1.46433 -2.4442 0.787182 0.721542 -0.797738 1.83894 0.459053 1.55955 1.20591 1.22752 1.21226 0.0297197 
25.926000000 0.0248038 0.0137341 -0.454543 -0.675307 -1.46428 -2.41627 0.787318 0.683461 -0.797728 1.86811 0.459086 1.55012 1.2059 1.22752 1.21227 0.0284284 
25.946000000 0.024856 0.0137284 -0.454663 -0.675862 -1.46423 -2.41482 0.787448 0.668197 -0.79772 1.86998 0.459117 1.55045 1.20589 1.22752 1.21228 0.0284623 
25.966000000 0.024911 0.013716 -0.454792 -0.677593 -1.46417 -2.41532 0.787579 0.669103 -0.79771 1.87364 0.459149 1.55289 1.20588 1.22752 1.2123 0.0287088 
25.986000000 0.0249575 0.0137157 -0.454903 -0.691873 -1.46412 -2.40201 0.787716 0.645726 -0.7977 1.90939 0.459182 1.541 1.20587 1.22752 1.21231 0.0263925 
26.006000000 0.0253669 0.0137135 -0.455006 -0.70439 -1.46407 -2.37971 0.787838 0.610367 -0.797692 1.95081 0.459212 1.5333 1.20586 1.22752 1.21232 0.0243704 
26.026000000 0.0237614 0.0137257 -0.455118 -0.710458 -1.46402 -2.36552 0.787968 0.588035 -0.797683 1.97022 0.459244 1.53044 1.20585 1.22752 1.21233 0.0229954 
26.046000000 0.0237635 0.0137237 -0.455256 -0.719426 -1.46396 -2.34126 0.7881 0.540029 -0.797674 1.99711 0.459275 1.52405 1.20584 1.22752 1.21234 0.0203751 
26.066000000 0.023814 0.0136998 -0.455395 -0.728443 -1.4639 -2.32111 0.788233 0.497493 -0.797666 2.02203 0.459308 1.51858 1.20583 1.22752 1.21236 0.0185713 
26.086000000 0.0238561 0.0137021 -0.45553 -0.735434 -1.46385 -2.3094 0.788369 0.459532 -0.797657 2.0409 0.459341 1.51291 1.20582 1.22751 1.21237 0.0172856 
26.106000000 0.023905 0.0137065 -0.455659 -0.751811 -1.46379 -2.29973 0.788503 0.424706 -0.797648 2.07844 0.459372 1.50099 1.20581 1.22751 1.21238 0.012963 
26.126000000 0.0239502 0.0136859 -0.455792 -0.759477 -1.46373 -2.28025 0.788636 0.376835 -0.797639 2.11191 0.459405 1.49476 1.2058 1.22751 1.21239 0.0101865 
26.146000000 0.0239984 0.0136966 -0.455926 -0.767927 -1.46368 -2.2689 0.78877 0.356089 -0.79763 2.1422 0.459437 1.48743 1.20579 1.22751 1.21241 0.0073693 
26.166000000 0.0240439 0.0137024 -0.456061 -0.762593 -1.46362 -2.30127 0.788904 0.393173 -0.797621 2.11921 0.459469 1.49289 1.20578 1.22751 1.21242 0.0100303 
26.186000000 0.0240987 0.0136872 -0.456194 -0.773427 -1.46356 -2.2971 0.789034 0.362028 -0.797612 2.15333 0.459501 1.48314 1.20577 1.2275 1.21243 0.00502733 
26.206000000 0.02414 0.0137013 -0.456328 -0.776788 -1.46351 -2.2826 0.78917 0.331919 -0.797602 2.16505 0.459533 1.48006 1.20576 1.2275 1.21244 0.00322042 
26.226000000 0.024195 0.0136853 -0.456458 -0.786426 -1.46346 -2.25844 0.789299 0.298152 -0.797593 2.18922 0.459564 1.46761 1.20575 1.2275 1.21246 -0.00127469 
26.246000000 0.0242349 0.0136865 -0.45659 -0.790526 -1.4634 -2.24151 0.789434 0.277028 -0.797584 2.19869 0.459596 1.46106 1.20574 1.2275 1.21247 -0.00426945 
26.266000000 0.0242892 0.0136702 -0.456726 -0.787429 -1.46334 -2.24251 0.789565 0.277016 -0.797575 2.19112 0.459628 1.46768 1.20573 1.2275 1.21248 -0.00172973 
26.286000000 0.0243345 0.0136719 -0.456853 -0.803875 -1.46329 -2.2195 0.789703 0.240777 -0.797565 2.22229 0.45966 1.44297 1.20572 1.22751 1.2125 -0.0120839 
26.306000000 0.024385 0.0136654 -0.456986 -0.804442 -1.46323 -2.21801 0.78983 0.251958 -0.797557 2.22915 0.459691 1.44418 1.20571 1.2275 1.21251 -0.0117639 
26.326000000 0.0244369 0.013657 -0.457114 -0.822932 -1.46318 -2.18599 0.789963 0.213824 -0.797548 2.28914 0.459723 1.41881 1.20571 1.22751 1.21252 -0.0217907 
26.346000000 0.024477 0.0136724 -0.457248 -0.820318 -1.46312 -2.18841 0.790101 0.234306 -0.797537 2.27717 0.459755 1.42195 1.2057 1.22751 1.21254 -0.0203502 
26.366000000 0.0245241 0.0136719 -0.457376 -0.830354 -1.46307 -2.15008 0.790232 0.187781 -0.797528 2.31984 0.459786 1.40971 1.20569 1.22751 1.21255 -0.0263701 
26.386000000 0.0245793 0.0136731 -0.457513 -0.836363 -1.46301 -2.11362 0.790362 0.15456 -0.797519 2.34216 0.459817 1.40325 1.20568 1.22751 1.21256 -0.0286341 
26.406000000 0.0246274 0.0136618 -0.457644 -0.847241 -1.46296 -2.07309 0.790493 0.105251 -0.797509 2.38252 0.459849 1.38635 1.20567 1.2275 1.21258 -0.0343051 
26.426000000 0.0246725 0.0136561 -0.457778 -0.855943 -1.4629 -2.03431 0.790626 0.0635256 -0.797499 2.41916 0.459881 1.37144 1.20566 1.22751 1.21259 -0.0392753 
26.446000000 0.0247244 0.0136743 -0.457908 -0.864461 -1.46285 -1.99598 0.790754 0.0352694 -0.79749 2.46137 0.459911 1.36012 1.20565 1.22751 1.2126 -0.0424774 
26.466000000 0.0247704 0.0136614 -0.458046 -0.874948 -1.4628 -1.947 0.790887 -0.0159778 -0.79748 2.52345 0.459943 1.34667 1.20564 1.22751 1.21262 -0.0459663 
26.486000000 0.0248177 0.0136779 -0.458186 -0.877003 -1.46274 -1.91713 0.791021 -0.0429401 -0.79747 2.54757 0.459975 1.34449 1.20563 1.22752 1.21263 -0.0461601 
26.506000000 0.0248631 0.0136666 -0.458309 -0.880418 -1.46268 -1.91248 0.791154 -0.0545698 -0.79746 2.55716 0.460007 1.34265 1.20562 1.22751 1.21264 -0.0464689 
26.526000000 0.0249077 0.0136775 -0.458436 -0.88315 -1.46263 -1.9015 0.791283 -0.0857996 -0.79745 2.58131 0.460037 1.33885 1.20561 1.22751 1.21266 -0.0474149 
26.546000000 0.024956 0.0136531 -0.458555 -0.886176 -1.46257 -1.89891 0.791415 -0.106261 -0.79744 2.62067 0.460068 1.3324 1.20561 1.22751 1.21267 -0.0476897 
26.566000000 0.0253803 0.0136709 -0.458681 -0.889105 -1.46252 -1.90685 0.791536 -0.11185 -0.79743 2.63973 0.460099 1.33317 1.2056 1.22751 1.21268 -0.0476608 
